Sample Coleosporium_tussilaginis Dothistroma_septosporum Gremmenia_infestans Lophodermella_sulcigena Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
147 GC5-7457-T1-ITS 3.07078706078713e-05 0.00024927565552272 0 0 0.000193278950296602 0 6.6834777205367e-05 0 0
148 GC8-7367-T1-ITS 0 0.0135247252435019 0.00014774909929876 0 0.000284132883266846 0 0 0 0
149 GC8-7377-T1-ITS 0 0.102317876959075 0.000440176533957303 0 0.00154061786885056 0 0 0 0
150 GC8-7501-T1-ITS 0 0.00934667929122143 0.000811578520221832 0 0 0 0 6.76315433518193e-05 0
151 GC8-7582-T1-ITS 0 0.0150726993588007 0 0 0.000126433667479455 6.77323218639935e-05 0 0.000194165989343448 0
152 GC9-7100-T1-ITS 0 0.0148209818605948 5.10526667164103e-05 0 9.81782052238659e-05 0 0 0 0
153 GC9-7275-T1-ITS 0 0.00247463412761294 0 0 0.000558450578868928 2.79225289434464e-05 0 0 0
154 GC9-7537-T1-ITS 0 0.00954638408626139 0 0 0.000399702546941811 0 0 0 0
155 GC9-7589-T1-ITS 0 0.00169849858458451 0.00025083312430573 0 0.000465832945139212 3.58333034722471e-05 0 0 0
156 GE1-7087-T1-ITS 0 0.00890114493158336 0.00121299916224518 0 0.000523596760681374 0 0 0 0
157 GE1-7638-T1-ITS 0 0.00192213688597254 0 0 0 0 0 0 0
158 GE1-7647-T1-ITS 0 0.006105439520652 4.73289885321861e-05 0 6.15276850918419e-05 0 0 0 0
159 GE2-7383-T1-ITS 0 0.0770673090877427 0 0 0.000127710213914608 0 0 0 0
160 GE2-7483-T1-ITS 4.94788230637287e-05 0.00395280819809122 0 0 8.79623521132955e-05 0 0 8.24647051062145e-05 0
161 GE2-7530-T1-ITS 0 0.0967431625653081 6.61347826871163e-05 0 0.00110024229379475 0 0 0.00642108617362184 0
162 GE2-7555-T1-ITS 0 0.00689673866743082 0.000139406284125497 0 5.80859517189569e-06 0.00052083736707998 0 0 0
163 GE6-7040-T1-ITS 0 0.148068122955582 5.43747334922602e-05 0 0.000372037650210201 0 0 9.15784985132803e-05 0
164 GE6-7186-T1-ITS 0 0.011368063455455 0 0 0.000116875224010846 0 0 0.000163625313615184 0
165 GE6-7205-T1-ITS 6.62976978787389e-05 0.0179003784272595 0.000217456449042263 0 0.000230715988618011 0.000103424408690833 0 0 0
