Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
88 CG6-7344-T3-ITS 0.000313798223059017 0 0.0100743280268649 1.40506667041351e-05 0 0.000206076444993982 0 0 3.27848889763153e-05 0
89 CG6-7551-T3-ITS 0 0 0.136731612916299 0 0 0.000624807913783263 3.03960606705371e-05 0 5.06601011175618e-05 0
90 CG7-7197-T3-ITS 0 0 0.130567453849361 5.30684962662522e-05 0 0.000322201584473674 0 0 0.00125469087600925 0
91 CG7-7434-T3-ITS 0 0 0.0200830502076255 5.39287062503371e-05 0 0.000866454547088749 8.98811770838951e-05 2.15714825001348e-05 4.67382120836254e-05 0
92 CG7-7574-T3-ITS 0 0 0.208839662341188 3.01660641833292e-05 0 0.000834594442405442 2.01107094555528e-05 0 0.000286577609741628 0
93 CG7-7655-T3-ITS 2.53687529445874e-05 0 0.130482368716704 3.98651831986373e-05 0 0.000431268800057986 1.08723226905375e-05 0 0.000105099119341862 0
94 CG8-7084-T3-ITS 0 0 0.0250478030285637 6.23161264295811e-05 0 0.00144639009239186 0.000108233272219799 0 2.29585728951088e-05 0
95 CG8-7522-T3-ITS 0 0 0.029934914969557 3.77913079991602e-05 0 0.000281335292882637 0 7.55826159983204e-05 0 0
96 CG8-7544-T3-ITS 0 0 0.0829681098470347 7.99968001279949e-05 0 0.000691400915391956 6.2854628671996e-05 0 0.000542835429439965 0
97 CR10-7348-T3-ITS 0 0 0.128636546288695 3.94439390689751e-05 0 0.017172904972155 3.45134466853532e-05 0 0.000621242040336358 0
98 CR10-7431-T3-ITS 0 0 0.107338303688325 3.01288968989148e-05 0 0.0522599411664813 0.000391675659685893 0 2.46509156445667e-05 0
99 CR10-7497-T3-ITS 0 0 0.0729525349567203 0 0 0.000770474650432798 0 0 0.0368686388281176 0
100 CR10-7549-T3-ITS 0 0 0.143260492792232 0 0 0.000344573988263913 0 0 0.00124458067402786 0
101 CR3-7445-T3-ITS 0 0 0.100964583484753 0 0 0.00104176400757269 1.38440399677434e-05 0 7.61422198225886e-05 0
102 CR3-7619-T3-ITS 0 0 0.0923825578413883 0 0 0.00123838671489283 4.90990327490548e-05 0 0 0
103 CR3-7642-T3-ITS 6.61629461036641e-06 0 0.151050005954665 0.000122401450291779 0 0.000678170197562557 0 0 0.000701327228698839 0
104 CR4-7135-T3-ITS 1.74446242209885e-05 0 0.0904154873373834 0 0 0.0018229632310933 0.00034889248441977 0 0.000309642079922546 0
105 CR4-7143-T3-ITS 0 0 0.00330350475274343 6.32855316617515e-05 0 0.00030060627539332 7.59426379941018e-05 6.32855316617515e-06 0 0
106 CR4-7211-T3-ITS 6.59440300045337e-05 0 0.0420970201541442 0.000107159048757367 0 0.00173103078761901 0 0 0.000164860075011334 0
107 CR4-7671-T3-ITS 8.7807448022869e-05 0 0.0325716850249276 0 0 0.000195127662273042 0 0 0.000151223938261608 0
108 CR7-7154-T3-ITS 0 0 0.0833932291349422 3.65465908121871e-05 0 0.00154713901104925 0 0 0.00749814221496705 0
109 CR7-7183-T3-ITS 0 0 0.064487908517153 5.43376377798728e-05 0 0.000266254425121377 1.90181732229555e-05 2.17350551119491e-05 0.000597714015578601 0
110 CR7-7648-T3-ITS 0 5.41790074405837e-05 0.0516145344217294 0 0 0.000216716029762335 0 0 0.000668207758433865 0
111 CR7-7652-T3-ITS 0 0 0.0474394138039203 0.000160866103099085 0 0.000748027379410747 0 0 0 0
112 CR9-7298-T3-ITS 0 0 0.00781688496314839 0.000127003896151782 0 0.000467046585848488 2.04844993793197e-05 0 6.96472978896869e-05 0
