Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermella_conjuncta Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii
64 BW2-7362-T2-ITS 0 0 0.215565271386406 9.35668535168378e-05 0 8.08077371281781e-05 0.000259435366569414 0 0 0
65 BW2-7628-T2-ITS 0 0 0.0279606713500485 0.000220452073719173 0 0.00011390023808824 0.000360071720407983 0 0 0
66 BW3-7101-T2-ITS 0 0 0.0400483586381162 0 0 0.000515535030968407 0.00107826693096913 0 0 0
67 BW3-7429-T2-ITS 0 0 0.0446021760116402 0.000144569997528319 0 6.5289676303112e-05 0.00108660675561608 0 0 0
68 BW3-7594-T2-ITS 0 0 0.10092428658943 5.38550088524171e-05 0 7.40506371720735e-05 0.00225517849569497 0 0 0.000242347539835877
69 BW6-7035-T2-ITS 0 0 0.0058830441424151 0 0 4.70016842270181e-05 9.40033684540363e-05 0 0 3.91680701891818e-05
70 BW6-7173-T2-ITS 0 0 0.162566246127027 0 0 0.00019086519191495 0.000868436623213025 0 0 0.000394454729957564
71 BW6-7284-T2-ITS 0 0 0.130223141207892 0 0 2.58464719565779e-05 0.000525544929783751 0 0 0.000987909594784756
72 BW6-7567-T2-ITS 0 0 0.0878588235294118 7.84313725490196e-05 0 9.41176470588235e-05 0.000203921568627451 0 0 0.000611764705882353
73 BW7-7366-T2-ITS 0 0 0.0373346366657062 0.000142248029500053 0 0.00028084867362831 0.00126929010938509 0 0 0
74 BW7-7506-T2-ITS 0 0 0.148158788345409 4.59656521664186e-05 0 1.7237119562407e-05 0.000545842119476221 0 0 0
75 BW7-7581-T2-ITS 0 0 0.200995386236458 6.64954834221645e-05 0 0.000132990966844329 0.000424548086464589 0 0 0.0291199067017217
76 BW7-7593-T2-ITS 0 0 0.0416895338462315 0 0 0 0.000393932762074713 0 0 0.000212117641117153
77 CG2-7072-T2-ITS 0 0 0.160243181437894 7.80857828099727e-05 0 3.90428914049863e-05 0.000295610463494897 0 0 0.00022867979251492
78 CG2-7148-T2-ITS 0 0 0.0389767505000858 0.000662788422763189 0 1.99635067097346e-05 0.000610883305317879 4.39197147614161e-05 0 0.000175678859045665
79 CG2-7160-T2-ITS 0 0 0.138489538476538 0.00013696435908805 0 4.4107166485982e-05 6.96428944515506e-05 0 0 0.000162500087053618
80 CG2-7208-T2-ITS 0 0 0.304402333442299 9.77322742300213e-05 0 3.70708626389736e-05 0.00125366917288165 0 0 3.70708626389736e-05
81 CG3-7376-T2-ITS 0 0 0.114726795208507 8.54098605684026e-05 0 0.000112100441996028 0.000250891465419683 0 0 0.000864774838255077
82 CG3-7382-T2-ITS 0 0 0.273735056804382 1.61912729039048e-05 0 0 0.000232074911622635 0 0 0.000291442912270286
83 CG3-7515-T2-ITS 8.38855800687862e-05 0 0.131023284240296 0.000521288961856028 0 0 0.000227689431615277 0 0 0.00716023344158568
84 CG3-7651-T2-ITS 0 0 0.0127479433821158 6.17499948541671e-05 0 0 0 0 0 0
85 CG4-7097-T2-ITS 0 0 0.0308543080016794 0.000254126798223322 0 8.83919298168077e-05 6.62939473626058e-05 0 0 0.000176783859633615
86 CG4-7218-T2-ITS 0 0 0.0834442908382017 0 0 4.45953608083228e-05 0.000350392120636822 0 0 7.00784241273643e-05
87 CG4-7406-T2-ITS 0 0 0.104507289866933 4.24358158285593e-05 0 0 9.09338910611985e-05 0 0 0.000363735564244794
88 CG4-7425-T2-ITS 0 0 0.0210828253854428 0 0 6.51911731151602e-05 0.000208611753968513 3.91147038690961e-05 0 6.51911731151602e-05
89 CG6-7014-T2-ITS 0 0 0.0600502372313704 0.000106056377337427 0 0 9.48925481440134e-05 0 0 0
90 CG6-7344-T2-ITS 0 0 0.00718426863639728 1.44443702164308e-05 0 1.2638823939377e-05 0.000724024057098595 2.34721016017001e-05 0 0
91 CG6-7551-T2-ITS 0 0 0.0585595506855349 0.000468035901106767 0 7.80059835177945e-05 0.000357909806728704 0 0 0.000513921773764293
92 CG7-7197-T2-ITS 0 0 0.00953731781277511 0.000138576412664254 0 4.07577684306629e-05 0.000301607486386905 0 0 0
93 CG7-7434-T2-ITS 0 0 0.0982959952596707 0.000143646342704262 0 4.7882114234754e-05 0.000263351628291147 0 4.7882114234754e-05 0.000119705285586885
94 CG7-7574-T2-ITS 0 0 0.174817059254835 5.34133562525189e-05 0 6.79806352304786e-05 0.00134990118529093 0 0 0
95 CG7-7655-T2-ITS 0 0 0.0317461142049705 0.00029611004903998 0 0.000171432133654725 0.000129872828526307 0 0 0
96 CG8-7084-T2-ITS 0 0 0.123428948323934 0.000133245835234862 0 0.000423055526870688 0.000892747096073578 3.99737505704587e-05 6.66229176174312e-06 0.0022718414907544
97 CG8-7522-T2-ITS 0 0 0.0579213238087644 0 0 0.000211066448408324 0.000220447179448694 8.91169448835148e-05 0 9.38073104036998e-05
98 CG8-7544-T2-ITS 0 0 0.0784257438532532 0.00058130355528125 0 0.000172238090453704 0.00131331543970949 0 4.3059522613426e-05 0.000279886896987269
99 CR10-7348-T2-ITS 0 0 0.144488648055422 9.90770590880338e-05 0 6.09704979003285e-05 0.00043060414142107 2.66745928313937e-05 0 0.000175290181463444
100 CR10-7431-T2-ITS 0 0 0.251667297667239 5.82462067157876e-05 0 0 0.000240265602702624 0.000145615516789469 0 0.000254827154381571
101 CR10-7497-T2-ITS 0 0 0.214883371850223 0 0 2.60081888640366e-05 0.000891709332481255 0 0 0.033357359945903
102 CR10-7549-T2-ITS 0 0 0.0542369859350034 0.000692620505681545 0 0 0.000747481535834539 0 0 0.000205728863073726
103 CR3-7338-T2-ITS 0 0 0.257292700437087 0.00025602314238054 0 0.000163643658016428 0.000855170083827784 0 0 0
104 CR3-7445-T2-ITS 0 0 0.0432597780179548 5.58345065226668e-05 0 1.59527161493334e-05 0.000123633550157334 0 5.18463274853335e-05 0
105 CR3-7619-T2-ITS 0 0 0.0175039036153484 2.30983156708213e-05 0 6.46752838782996e-05 4.61966313416426e-05 0 0 0
106 CR3-7642-T2-ITS 0 0 0.126332274523259 9.96093101501887e-05 0 0 0.000243489424811572 0 0 6.08723562028931e-05
107 CR4-7135-T2-ITS 0 0 0.140045400270302 1.74952872070086e-05 0 3.06167526122651e-05 0.000997231370799491 0 0 0.00114156749025731
108 CR4-7143-T2-ITS 0 0 0.00140355318610296 0.00010051972420366 0 3.35065747345535e-05 0.0001600869681762 0 0 0
109 CR4-7211-T2-ITS 0 0 0.0282539571613264 0.000293511303679374 0 2.79534574932737e-05 0.000433278591145742 4.8918550613229e-05 0 1.39767287466369e-05
110 CR4-7671-T2-ITS 0 0 0.00996353982895643 7.14081690945444e-05 0 0 5.04057664196784e-05 0 0 4.2004805349732e-05
111 CR7-7154-T2-ITS 0 0 0.0203978297363511 3.11595642334942e-05 0 0 7.78989105837355e-05 0 0 0.00182283450765941
112 CR7-7183-T2-ITS 0 0 0.191668052552802 1.66306336271412e-05 0 0 0.000315982038915683 0 0 3.32612672542824e-05
113 CR7-7648-T2-ITS 0 0 0.028267512929008 0.000204411193556959 0 0.000127756995973099 0.000283620531060281 0 0 0.000178859794362339
