id,Dothistroma_septosporum,Coleosporium_tussilaginis,Cyclaneusma_minus,Gremmenia_infestans,Gremmeniella_abietina,Lophodermella_conjuncta,Lophodermium_conigenum,Lophodermium_seditiosum,Pachyramichloridium_pini,Rhizosphaera_kalkhoffii,Sirococcus_piceicola
7084,0.025047803,0,0,6.23161E-05,0,0,0.00144639,0.000108233,0,2.29586E-05,0
7522,0.029934915,0,0,3.77913E-05,0,0,0.000281335,0,7.55826E-05,0,0
7544,0.08296811,0,0,7.99968E-05,0,0.000119995,0.000691401,6.28546E-05,0,0.000542835,0
7348,0.128636546,0,0,3.94439E-05,0,7.39574E-06,0.017172905,3.45134E-05,0,0.000621242,0
7431,0.107338304,0,0,3.01289E-05,0,0,0.052259941,0.000391676,0,2.46509E-05,0
7497,0.072952535,0,0,0,0,0,0.000770475,0,0,0.036868639,0
7549,0.143260493,0,0,0,0,0,0.000344574,0,0,0.001244581,0
7445,0.100964583,0,0,0,0,0,0.001041764,1.3844E-05,0,7.61422E-05,0
7619,0.092382558,0,0,0,0,3.81881E-05,0.001238387,4.9099E-05,0,0,0
7642,0.151050006,6.61629E-06,0,0.000122401,0,2.3157E-05,0.00067817,0,0,0.000701327,0
7135,0.090415487,1.74446E-05,0,0,0,1.74446E-05,0.001822963,0.000348892,0,0.000309642,0
7143,0.003303505,0,0,6.32855E-05,0,6.32855E-06,0.000300606,7.59426E-05,6.32855E-06,0,0
7211,0.04209702,6.5944E-05,0,0.000107159,0,0,0.001731031,0,0,0.00016486,0
7671,0.032571685,8.78074E-05,0,0,0,4.39037E-05,0.000195128,0,0,0.000151224,0
7154,0.083393229,0,0,3.65466E-05,0,1.21822E-05,0.001547139,0,0,0.007498142,0
7183,0.064487909,0,0,5.43376E-05,0,0,0.000266254,1.90182E-05,2.17351E-05,0.000597714,0
7648,0.051614534,0,5.4179E-05,0,0,2.70895E-05,0.000216716,0,0,0.000668208,0
7652,0.047439414,0,0,0.000160866,0,0,0.000748027,0,0,0,0
7298,0.007816885,0,0,0.000127004,0,0,0.000467047,2.04845E-05,0,6.96473E-05,0
